146;Lamjung;2008;2656;1751;905
147;Lamjung;2009;2731;1771;960
148;Lamjung;2010;3074;1937;1137
149;Lamjung;2011;3160;1982;1178
150;Lamjung;2007;2361;1633;728
151;Doti;2008;1738;1375;363
152;Doti;2009;2185;1721;464
153;Doti;2010;2511;1875;636
154;Doti;2011;2511;1875;636
155;Doti;2007;1625;1335;290
156;Okhaldhunga;2008;1509;1037;472
157;Okhaldhunga;2009;1719;1148;571
158;Okhaldhunga;2010;2114;1361;753
159;Okhaldhunga;2011;2206;1411;795
160;Okhaldhunga;2007;1527;1092;435
161;Achham;2008;2281;1881;400
162;Achham;2009;2283;1881;402
163;Achham;2010;3295;2520;775
164;Achham;2011;3295;2520;775
165;Achham;2007;1754;1492;262
166;Dolakha;2008;2342;1718;624
167;Dolakha;2009;2405;1781;624
168;Dolakha;2010;2740;1874;866
169;Dolakha;2011;2962;2031;931
170;Dolakha;2007;2030;1505;525
171;Rukum;2008;1377;1149;228
172;Rukum;2009;1377;1149;228
173;Rukum;2010;1540;1064;476
174;Rukum;2011;1596;1120;476
175;Rukum;2007;161;137;24
176;Dhading;2008;3462;2430;1032
177;Dhading;2009;3727;2446;1281
178;Dhading;2010;3985;2463;1522
179;Dhading;2011;4381;2675;1706
180;Dhading;2007;1078;760;318
181;Kaski;2008;6308;3872;2436
182;Kaski;2009;6469;3872;2597
183;Kaski;2010;7068;4062;3006
184;Kaski;2011;7476;4198;3278
185;Kaski;2007;6387;3890;2497
186;Humla;2008;459;382;77
187;Humla;2009;461;382;79
188;Humla;2010;617;515;102
189;Humla;2011;622;515;107
190;Humla;2007;402;342;60
191;Bhaktapur;2008;4739;2406;2333
192;Bhaktapur;2009;4739;2406;2333
193;Bhaktapur;2010;5141;2605;2536
194;Bhaktapur;2011;5141;2605;2536
195;Bhaktapur;2007;2184;1276;908
196;Sindhuli;2008;2492;1754;738
197;Sindhuli;2009;2934;2050;884
198;Sindhuli;2010;3558;2443;1115
199;Sindhuli;2011;3660;2524;1136
200;Sindhuli;2007;1523;1160;363
201;Jhapa;2008;6153;4221;1932
202;Jhapa;2009;7086;4759;2327
203;Jhapa;2010;9748;6255;3493
204;Jhapa;2011;9767;6255;3512
205;Jhapa;2007;5719;4040;1679
206;Dhankuta;2008;1743;1215;528
207;Dhankuta;2009;1930;1317;613
208;Dhankuta;2010;2132;1412;720
209;Dhankuta;2011;2159;1412;747
210;Dhankuta;2007;1614;1171;443
211;Manang;2008;212;146;66
212;Manang;2009;213;146;67
213;Manang;2010;206;148;58
214;Manang;2011;207;149;58
215;Manang;2007;198;139;59
216;Bardiya;2008;2541;1697;844
217;Bardiya;2009;2843;1919;924
218;Bardiya;2010;3140;2103;1037
219;Bardiya;2011;3140;2103;1037
220;Bardiya;2007;2222;1533;689
221;Nuwakot;2008;2551;1867;684
222;Nuwakot;2009;2758;1880;878
223;Nuwakot;2010;2532;1729;803
224;Nuwakot;2011;2599;1720;879
225;Nuwakot;2007;2269;1689;580
226;Ramechhap;2008;2112;1543;569
227;Ramechhap;2009;2455;1732;723
228;Ramechhap;2010;2891;1923;968
229;Ramechhap;2011;2915;1939;976
230;Ramechhap;2007;1930;1424;506
231;Terhathum;2008;1423;1072;351
232;Terhathum;2009;1489;1098;391
233;Terhathum;2010;1598;1152;446
234;Terhathum;2011;1624;1168;456
235;Terhathum;2007;1384;1046;338
236;Rautahat;2008;2061;1570;491
237;Rautahat;2009;2063;1570;493
238;Rautahat;2010;2287;1729;558
239;Rautahat;2011;2387;1829;558
240;Rautahat;2007;1723;1378;345
241;Kapilbastu;2008;3447;2303;1144
242;Kapilbastu;2009;3447;2303;1144
243;Kapilbastu;2010;3807;2473;1334
244;Kapilbastu;2011;3973;2572;1401
245;Kapilbastu;2007;2058;1447;611
246;Jumla;2008;804;552;252
247;Jumla;2009;805;552;253
248;Jumla;2010;1089;846;243
249;Jumla;2011;1089;846;243
250;Jumla;2007;550;342;208
251;Bara;2008;2291;1731;560
252;Bara;2009;2291;1731;560
253;Bara;2010;2893;2176;717
254;Bara;2011;2893;2176;717
255;Bara;2007;1483;1133;350
256;Bajura;2008;1114;932;182
257;Bajura;2009;1293;1052;241
258;Bajura;2010;1449;1168;281
259;Bajura;2011;2159;1741;418
260;Bajura;2007;1003;857;146
261;Dhanusha;2008;2347;1763;584
262;Dhanusha;2009;2434;1848;586
263;Dhanusha;2010;2540;1908;632
264;Dhanusha;2011;2589;1957;632
265;Dhanusha;2007;1666;1318;348
266;Kanchanpur;2008;2756;1975;781
267;Kanchanpur;2009;3117;2185;932
268;Kanchanpur;2010;3120;2185;935
269;Kanchanpur;2011;3120;2185;935
270;Kanchanpur;2007;2034;1506;528
271;Palpa;2008;3407;2315;1092
272;Palpa;2009;3859;2603;1256
273;Palpa;2010;4316;2835;1481
274;Palpa;2011;4423;2863;1560
275;Palpa;2007;3330;2335;995
276;Dailekh;2008;1929;1485;444
277;Dailekh;2009;1929;1485;444
278;Dailekh;2010;2327;1663;664
279;Dailekh;2011;2327;1663;664
280;Dailekh;2007;1597;1292;305
281;Sankhuwasabha;2008;1937;1471;466
282;Sankhuwasabha;2009;2065;1540;525
283;Sankhuwasabha;2010;2226;1630;596
284;Sankhuwasabha;2011;2502;1831;671
285;Sankhuwasabha;2007;1778;1398;380
286;Tanahu;2008;3887;2567;1320
287;Tanahu;2009;4525;2870;1655
288;Tanahu;2010;4547;2728;1819
289;Tanahu;2011;4573;2728;1845
290;Tanahu;2007;2603;1919;684
291;Nawalparasi;2008;4435;2978;1457
292;Nawalparasi;2009;5668;3761;1907
293;Nawalparasi;2010;5023;3290;1733
294;Nawalparasi;2011;5958;3644;2314
295;Nawalparasi;2007;4048;2697;1351
296;Surkhet;2008;2904;2133;771
297;Surkhet;2009;2907;2133;774
298;Surkhet;2010;3183;2137;1046
299;Surkhet;2011;3309;2248;1061
300;Surkhet;2007;2711;2065;646
301;Mahottari;2008;2157;1636;521
302;Mahottari;2009;2157;1636;521
303;Mahottari;2010;2300;1559;741
304;Mahottari;2011;2466;1725;741
305;Mahottari;2007;1658;1299;359
306;Bhojpur;2008;1901;1444;457
307;Bhojpur;2009;2193;1656;537
308;Bhojpur;2010;2360;1731;629
309;Bhojpur;2011;2368;1731;637
310;Bhojpur;2007;1713;1352;361
311;Kailali;2008;5055;3316;1739
312;Kailali;2009;5388;3649;1739
313;Kailali;2010;5099;3443;1656
314;Kailali;2011;5116;3456;1660
315;Kailali;2007;4349;3192;1157
316;Makwanpur;2008;3660;2397;1263
317;Makwanpur;2009;3837;2489;1348
318;Makwanpur;2010;4738;2809;1929
319;Makwanpur;2011;4792;2839;1953
320;Makwanpur;2007;3061;2089;972
321;Siraha;2008;2383;1836;547
322;Siraha;2009;2383;1836;547
323;Siraha;2010;2715;2033;682
324;Siraha;2011;2797;2077;720
325;Siraha;2007;1988;1631;357
326;Salyan;2008;1683;1267;416
327;Salyan;2009;1702;1286;416
328;Salyan;2010;1749;1359;390
329;Salyan;2011;1833;1443;390
330;Salyan;2007;1703;1330;373
331;Parsa;2008;2358;1718;640
332;Parsa;2009;2358;1718;640
333;Parsa;2010;2757;1917;840
334;Parsa;2011;2757;1917;840
335;Parsa;2007;2094;1546;548
336;Lalitpur;2008;6374;3176;3198
337;Lalitpur;2009;6374;3176;3198
338;Lalitpur;2010;6331;3168;3163
339;Lalitpur;2011;6331;3168;3163
340;Lalitpur;2007;5403;2784;2619
341;Morang;2008;4755;3192;1563
342;Morang;2009;4962;3372;1590
343;Morang;2010;4923;3275;1648
344;Morang;2011;5133;3485;1648
345;Morang;2007;5345;3734;1611
346;Sarlahi;2008;2155;1621;534
347;Sarlahi;2009;2369;1640;729
348;Sarlahi;2010;2344;1595;749
349;Sarlahi;2011;2823;1953;870
350;Sarlahi;2007;1631;1280;351
351;Mustang;2008;395;288;107
352;Mustang;2009;470;305;165
353;Mustang;2010;449;294;155
354;Mustang;2011;480;325;155
355;Mustang;2007;330;250;80
356;Dang;2008;3450;2317;1133
357;Dang;2009;4607;3069;1538
358;Dang;2010;4606;3048;1558
359;Dang;2011;4615;3048;1567
360;Dang;2007;3700;2638;1062
361;Baglung;2008;3232;2161;1071
362;Baglung;2009;3729;2451;1278
363;Baglung;2010;4087;2545;1542
364;Baglung;2011;4087;2545;1542
365;Baglung;2007;2970;2074;896
366;Syangja;2008;4156;2743;1413
367;Syangja;2009;4716;3075;1641
368;Syangja;2010;5291;3357;1934
369;Syangja;2011;5318;3357;1961
370;Syangja;2007;3785;2534;1251
371;Rupandehi;2008;4179;2695;1484
372;Rupandehi;2009;5311;3352;1959
373;Rupandehi;2010;6098;3745;2353
374;Rupandehi;2011;8780;5220;3560
375;Rupandehi;2007;3666;2430;1236
